image_path,conf_lm_0,conf_lm_1,conf_lm_2,conf_lm_3,conf_lm_4,conf_lm_5,conf_lm_6,conf_lm_7,conf_lm_8,conf_lm_9,conf_lm_10,conf_lm_11,conf_lm_12,conf_lm_13,conf_lm_14,conf_lm_15,conf_lm_16,conf_lm_17,conf_lm_18,conf_lm_19,conf_lm_20,conf_lm_21,conf_lm_22,conf_mean,conf_min,conf_key_mean,conf_key_min
0001_L.jpg,0.9960293769836426,0.9969333410263062,0.9966155886650085,0.9986782670021057,0.999193012714386,0.9987082481384277,0.9983263611793518,0.9985803365707397,0.9991175532341003,0.9980207681655884,0.998090922832489,0.999091625213623,0.9986881613731384,0.9984880685806274,0.9981223940849304,0.9975131750106812,0.9980719089508057,0.9982951283454895,0.9976689219474792,0.9976492524147034,0.9979144930839539,0.9986239671707153,0.9964879751205444,0.9980396628379822,0.9960293769836426,0.9982677102088928,0.9964879751205444
0001_R.jpg,0.9959725737571716,0.9966453909873962,0.9973679184913635,0.9982450008392334,0.9959766268730164,0.9945732951164246,0.9948791265487671,0.9947291016578674,0.9928337335586548,0.9918210506439209,0.9921815395355225,0.9928111433982849,0.9951019287109375,0.9959569573402405,0.9970664381980896,0.9968326687812805,0.9958546161651611,0.9950013756752014,0.9958814382553101,0.9952120780944824,0.9966652989387512,0.9939863681793213,0.9917359948158264,0.9951014518737793,0.9917359948158264,0.995197057723999,0.9917359948158264
0002_L.jpg,0.9969557523727417,0.9979254007339478,0.9969679713249207,0.9982629418373108,0.9978524446487427,0.998559296131134,0.9984583854675293,0.9983548521995544,0.9985511898994446,0.999075174331665,0.9987838864326477,0.9987741112709045,0.9980483055114746,0.998095691204071,0.9975278973579407,0.9982864260673523,0.9988296627998352,0.9989070892333984,0.9987457990646362,0.996780514717102,0.9977758526802063,0.998034656047821,0.9977722764015198,0.9981445670127869,0.996780514717102,0.9980428814888,0.9977722764015198
0002_R.jpg,0.9975970387458801,0.9967557787895203,0.9970383644104004,0.9978646636009216,0.9983963370323181,0.9987295269966125,0.9974598288536072,0.9976837635040283,0.9977536797523499,0.9992355108261108,0.9985358715057373,0.9991394281387329,0.9986044764518738,0.9975621700286865,0.9981946349143982,0.9971848130226135,0.9971207976341248,0.9981404542922974,0.9986648559570312,0.9973534345626831,0.9966331124305725,0.9971681237220764,0.998084306716919,0.9978652000427246,0.9966331124305725,0.9978127479553223,0.9966331124305725
0003_L.jpg,0.9967425465583801,0.9972776770591736,0.9982602000236511,0.9977492690086365,0.9978431463241577,0.9981437921524048,0.9982553124427795,0.9982574582099915,0.9979152083396912,0.997804582118988,0.9978304505348206,0.9981916546821594,0.9984404444694519,0.9988009929656982,0.9978000521659851,0.9978677034378052,0.9977360963821411,0.99812251329422,0.9990243911743164,0.9981468915939331,0.9973846077919006,0.9981901049613953,0.9969195127487183,0.997943639755249,0.9967425465583801,0.9977050423622131,0.9969195127487183
0003_R.jpg,0.9971916079521179,0.9977372884750366,0.9980280995368958,0.9986496567726135,0.9977883100509644,0.9979065656661987,0.9976044297218323,0.9985394477844238,0.9979318380355835,0.9980741739273071,0.9990441203117371,0.9979958534240723,0.997802197933197,0.9979401230812073,0.9977595806121826,0.997613787651062,0.9973106384277344,0.9987742304801941,0.9974991679191589,0.9977153539657593,0.9980329871177673,0.9974718689918518,0.9979836940765381,0.9979301691055298,0.9971916079521179,0.9979721903800964,0.9974718689918518
0004_L.jpg,0.9946848750114441,0.9972724318504333,0.9965728521347046,0.9962820410728455,0.9962995648384094,0.9975717663764954,0.9987815022468567,0.9976884126663208,0.9962632060050964,0.9964086413383484,0.9966991543769836,0.9965677261352539,0.995475709438324,0.9959916472434998,0.9959619641304016,0.9969344139099121,0.9961905479431152,0.9968998432159424,0.9974216222763062,0.9976796507835388,0.9974404573440552,0.994636595249176,0.9964920878410339,0.9966180920600891,0.994636595249176,0.9964537024497986,0.994636595249176
0004_R.jpg,0.9973472356796265,0.9973228573799133,0.9976818561553955,0.9981241822242737,0.9983254075050354,0.9984496831893921,0.9972803592681885,0.9944913387298584,0.9941192865371704,0.9956680536270142,0.9970498085021973,0.9967361092567444,0.9981593489646912,0.9991232752799988,0.9982907176017761,0.9974442720413208,0.9965330362319946,0.9977960586547852,0.9977332353591919,0.9968733191490173,0.9980942606925964,0.9941925406455994,0.9952404499053955,0.997046947479248,0.9941192865371704,0.9970710873603821,0.9941925406455994
0005_L.jpg,0.9974523186683655,0.9976664781570435,0.9975214600563049,0.9971471428871155,0.9965512752532959,0.9971098303794861,0.9968141913414001,0.9969236254692078,0.9979342222213745,0.9974453449249268,0.9979625940322876,0.9973964691162109,0.9978741407394409,0.9978027939796448,0.9948582649230957,0.9954299926757812,0.996441662311554,0.997395396232605,0.997057318687439,0.9961804151535034,0.9970261454582214,0.9965594410896301,0.9961003065109253,0.9969846606254578,0.9948582649230957,0.9967491030693054,0.9961003065109253
0005_R.jpg,0.9982829093933105,0.9982907176017761,0.9982393980026245,0.9986466765403748,0.9987543821334839,0.9984242916107178,0.998936116695404,0.9988608360290527,0.9981175661087036,0.9983752965927124,0.9988659620285034,0.9981910586357117,0.9981675148010254,0.9986065030097961,0.9981635212898254,0.9985302686691284,0.9979819059371948,0.9977858066558838,0.997480571269989,0.9983565211296082,0.9972176551818848,0.9968833327293396,0.9973689317703247,0.9981967806816101,0.9968833327293396,0.9978825449943542,0.9968833327293396
